titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Les Fous du roi,2006-11-01,Drame_Thriller,135,Steven Zaillian,Gaumont Columbia Tristar Films,"Sean Penn,Jude Law,Kate Winslet",U.S.A.,Anglais,Long-métrage,2006,20,"Les Fous du roi raconte l'ascension politique d'un idéaliste en Louisiane et révèle la corruption qui conduira à sa chute. Avec pour toile de fond un univers politique qui exacerbe ce qu'il y a de meilleur ou de pire chez l'homme, ce film nous entraîne dans les arcanes de l'âme humaine. De la pureté à la trahison, de la culpabilité à la rédemption, cette fable est plus que jamais d'actualité.",56780,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/06/81/18676701.jpg,3672366
Shortbus,2006-11-08,Comédie_Drame_Erotique_Romance,101,John Cameron Mitchell,Bac Films,"Sook-Yin Lee,Paul Dawson,Jay Brannan",U.S.A.,Anglais,Long-métrage,2006,21,Shortbus suit plusieurs personnages new-yorkais dont les aventures tragi-comiques naviguent entre sexualité et sentiments. Tous fréquentent un,110133,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/60/14/53/18682195.jpg,48535
Toi et moi... et Duprée,2006-11-08,Comédie,109,Anthony Russo,United International Pictures (UIP),"Owen Wilson,Kate Hudson,Matt Dillon",U.S.A.,Anglais,Long-métrage,2006,13,"Jamais deux sans trois... Jeunes mariés, Carl et Molly Peterson sont à peine rentrés d'une brève lune de miel à Hawaii que débarque chez eux l'ineffable Randolph Dupree, célibataire endurci, glandeur incurable... et meilleur ami de Carl. Licencié pour s'être octroyé une semaine de congés et plaqué par sa petite amie, Duprée se retrouve sans travail, sans ressources, sans voiture et sans domicile.",61748,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/29/63/18669514.jpg,49993
Libero,2006-11-08,Comédie dramatique,108,Kim Rossi Stuart,MK2 Diffusion,"Alessandro Morace,Marta Nobili,Kim Rossi Stuart",Italie,Italien,Long-métrage,2006,22,"Tommy, 11 ans, sa grande soeur Viola et leur père Renato forment une famille étrangement unie depuis que la mère des deux enfants les a abandonnés. Cette famille pleine de rage et d'imperfections, d'une inconsolable solitude, tient debout malgré tout grâce au souci constant de chacun pour les autres, et à leur amour.",111203,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/15/56/18680500.jpg,50493
Désaccord parfait,2006-11-08,Comédie_Romance,91,Antoine de Caunes,Gaumont Columbia Tristar Films,"Charlotte Rampling,Jean Rochefort,Isabelle Nanty",France,Français,Long-métrage,2006,24,"""Quelle bonne idée, ces retrouvailles""... se réjouissent d'avance les organisateurs des BATAR, à Londres, sans se douter une seconde qu'ils ne vont pas du tout avoir droit au grand moment d'émotion et de mondanité qu'ils avaient prévu.",109203,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/40/43/18677024.jpg,191986
Le Dahlia noir,2006-11-08,Drame_Policier_Thriller,120,Brian De Palma,Metropolitan FilmExport,"Josh Hartnett,Scarlett Johansson,Hilary Swank",U.S.A.,Anglais,Long-métrage,2006,32,"Dans les années 40, à Los Angeles, Bucky et Lee, deux inspecteurs, s'attaquent à une affaire de meurtre particulièrement difficile. Une starlette, Elizabeth Short, a été découverte atrocement mutilée. Sa beauté et sa fin tragique deviennent les sujets de conversation de toute la ville.",54771,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/09/81/18661872.jpg,231815
Le Prestige,2006-11-15,Drame_Thriller,128,Christopher Nolan,Warner Bros. France,"Hugh Jackman,Christian Bale,Michael Caine",U.S.A.,Anglais,Long-métrage,2006,29,"Londres, au début du siècle dernier...",108998,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/62/84/94/18680369.jpg,122611
Le Concile de pierre,2006-11-15,Action_Fantastique_Thriller,100,Guillaume Nicloux,UGC,"Monica Bellucci,Catherine Deneuve,Moritz Bleibtreu",France,Français,Long-métrage,2006,22,Laura Siprien se demande si elle n'est pas en train de perdre la raison.,58330,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/26/55/18669873.jpg,133365
Sexy Dance,2006-11-15,Drame_Musical_Policier_Romance,104,Anne Fletcher,United International Pictures (UIP),"Channing Tatum,Jenna Dewan,Rachel Griffiths",U.S.A.,Anglais,Long-métrage,2006,9,"Rebelle dans l'âme, Tyler Gage a passé toute sa jeunesse dans les bas quartiers et les",111632,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/86/83/18673315.jpg,104625
"Borat, leçons culturelles sur l'Amérique au profit glorieuse nation Kazakhstan",2006-11-15,Comédie,90,Larry Charles,Twentieth Century Fox France,"Sacha Baron Cohen,Ken Davitian, Luenell",U.S.A.,Anglais,Long-métrage,2006,28,"Borat, reporter kazakh, est envoyé aux Etats-Unis par la télévision de son pays pour y tourner un reportage sur le mode de vie de cette nation vénérée comme un modèle. Au cours de son périple, il rencontre de vraies personnes dans des situations authentiques, avec les conséquences les plus incroyables. Son comportement à contre-courant provoque les réactions les plus diverses, et révèle les préjugés et les dessous de la société américaine. Aucun sujet n'échappera à sa soif d'apprendre, même les plus extrêmes. Un vrai choc des cultures...",109678,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/36/29/57/18682308.jpg,353997
L'Ecole fantastique,2006-11-21,Comédie_Famille_Fantastique,102,Mike Mitchell (V),Buena Vista International,"Michael Angarano,Danielle Panabaker,Mary Elizabeth Winstead",U.S.A.,Anglais,Long-métrage,2005,83,"Will est un jeune garçon tout à fait normal si ce n'est qu'il doit intégrer la prestigieuse école de super-héros appelée Sky High et qu'il n'a pour le moment, aucune idée des super-pouvoirs qui le caractérisent... Il devra jongler entre les super-moqueries de ses camarades et la déception de ses parents, un couple de super-héros légendaires...",50152,https://fr.web.img6.acsta.net/c_310_420/pictures/20/03/18/16/12/4559033.jpg,14631784
Fast Food Nation,2006-11-22,Comédie dramatique,114,Richard Linklater,La Fabrique de Films,"Glen Powell,Catalina Sandino Moreno,Greg Kinnear",U.S.A.,Anglais,Long-métrage,2006,24,Don Henderson a un vrai problème. Il est responsable,111193,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/60/18/13/18685716.jpg,35285
The Host,2006-11-22,Action_Drame_Fantastique,120,Bong Joon Ho,The Jokers / Les Bookmakers,"Song Kang-Ho,Hie-bong Byeon,Park Hae-il",Corée du Sud,Coréen,Long-métrage,2006,30,"A Séoul, Gang-du tient un petit snack au bord de la rivière où il vit avec sa famille, dont sa fille adorée Hyun-seo. Un jour, un monstre géant surgit des profondeurs de la rivière et attaque la foule. Gang-du tente de s'enfuir avec sa fille, mais elle est enlevée brusquement par le monstre, qui disparaît au fond de la rivière. La famille Park décide alors de partir à la recherche de la créature, pour retrouver Hyun-seo...",111431,https://fr.web.img3.acsta.net/c_310_420/pictures/23/01/25/17/50/1009568.jpg,93357
Black Book,2006-11-29,Drame_Guerre,145,Paul Verhoeven,Pathé,"Carice van Houten,Sebastian Koch,Thom Hoffman",Grande-Bretagne,Néerlandais,Long-métrage,2006,28,"La Haye, sous l'occupation allemande.",58127,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/26/52/18854771.jpg,59797
Les Infiltrés,2006-11-29,Drame_Policier,150,Martin Scorsese,TFM Distribution,"Ray Winstone,Leonardo DiCaprio,Matt Damon",U.S.A.,Anglais,Long-métrage,2006,28,"A Boston, une lutte sans merci oppose la police à la pègre irlandaise.",55983,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/21/63/18680971.jpg,616912
La Faute à Fidel!,2006-11-29,Drame,99,Julie Gavras,Gaumont Columbia Tristar Films,"Nina Kervel-Bey,Julie Depardieu,Stefano Accorsi",France,Français,Long-métrage,2006,18,"Pour Anna, 9 ans, la vie se déroule paisiblement et confortablement entre son école religieuse et la maison de ses parents, Marie et Fernando.",109303,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/40/52/18688592.jpg,27807
Shop Girl,2006-11-29,Drame_Romance,105,Anand Tucker,Quinta Distribution,"Claire Danes,Jason Schwartzman,Steve Martin",U.S.A.,Anglais,Long-métrage,2005,5,"Mirabelle, vendeuse au rayon gants chez",48639,https://fr.web.img6.acsta.net/c_310_420/commons/v9/common/empty/empty_portrait.png,463555
Souris City,2006-11-29,Animation_Aventure_Comédie,85,Sam Fell,United International Pictures (UIP),"Hugh Jackman,Kate Winslet,Ian McKellen",U.S.A.,Anglais,Long-métrage,2006,230,"Roddy est un rat des beaux quartiers, qui habite une luxueuse résidence de Kensington. Lorsque Syd, un vulgaire rat d'égout, remonte par l'évier et prétend s'incruster dans son paradis, Roddy tente de l'évacuer en l'attirant dans les WC. Mais Syd n'est pas si bête, et c'est le rat-finné Roddy que le tourbillon de la chasse aspire et expulse dans les égouts !",57967,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/60/15/40/18682582.jpg,374153
Madame Irma,2006-12-06,Comédie,95,Didier Bourdon,Mars Distribution,"Didier Bourdon,Pascal Légitimus,Arly Jover",France,Français,Long-métrage,2006,12,"Francis menait une confortable vie de cadre supérieur, jusqu'à ce que la chief manager de sa maison mère américaine décide d'éjecter tout le monde. Pour ce quarantenaire, c'est un tel choc qu'il n'ose même pas l'avouer à sa jeune femme, Inès.",109251,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/85/01/18699927.jpg,313999
Happy Feet,2006-12-06,Animation_Aventure,108,Judy Morris,Warner Bros. France,"Clovis Cornillac,Elijah Wood,Marion Cotillard",U.S.A.,Anglais,Long-métrage,2006,424,"Un manchot de l'Antarctique n'arrivera jamais à rien s'il ne sait pas chanter, et le pauvre Mumble est sans conteste le pire chanteur du monde. Son talent à lui, c'est... les claquettes, qu'il pratique en virtuose, avec une ardeur confondante.",52416,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/23/57/18684905.jpg,375210
Mauvaise foi,2006-12-06,Comédie,88,Roschdy Zem,Wild Bunch Distribution,"Cécile de France,Roschdy Zem,Pascal Elbé",France,Français,Long-métrage,2006,26,"Clara est juive, Ismaël est arabe. Ils forment un couple heureux et épanoui. Lorsque Clara tombe enceinte, c'est le plus beau jour de leur vie. Tout va bien...",109177,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/60/14/29/18678257.jpg,268690
The Last Show,2006-12-06,Comédie dramatique,100,Robert Altman,Bac Films,"Meryl Streep,Lily Tomlin,Lindsay Lohan",U.S.A.,Anglais,Long-métrage,2006,25,"Un samedi soir pluvieux à Saint Paul, la foule se presse au Fitzgerald Theater pour assister au show radiophonique hebdomadaire ""A Prairie Home Companion"".",61008,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/24/16/18683871.jpg,53466
Material Girls,2006-12-12,Comédie,97,Martha Coolidge,SND,"Hilary Duff,Haylie Duff,Brent Spiner",U.S.A.,Anglais,Long-métrage,2005,2,"Ava et Tanzie Marchetta sont les jeunes et sublimes héritières de Marchetta Cosmetics, la multinationale que leur défunt père a fondée. Leurs principales préoccupations : les chaussures, les clubs les plus branchés et leur petit-ami du moment. Le rêve... Mais leur univers s'effondre completement quand un journaliste fait sensation en soutenant que leur produit phare est en fait dangereux pour la santé, images d'une victime à l'appui. Les deux jeunes femmes se retrouvent ruinées du jour au lendemain et vont devoir se battre pour sauver la mémoire de leur père et découvrir leur vraie personnalité.",60617,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/82/64/18803043.jpg,4603121
Hors de prix,2006-12-13,Comédie,103,Pierre Salvadori,TFM Distribution,"Audrey Tautou,Gad Elmaleh,Marie-Christine Adam",France,Français,Long-métrage,2006,28,"Jean, serveur timide d'un grand hôtel, passe pour un milliardaire aux yeux d'Irène, une aventurière intéressée.",108526,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/80/84/85/19552553.jpg,527454
Déjà Vu,2006-12-13,Action_Policier_Science fiction,130,Tony Scott,Buena Vista International,"Denzel Washington,Jim Caviezel,Paula Patton",U.S.A.,Anglais,Long-métrage,2006,23,"Alors qu'il enquête sur l'explosion d'une bombe sur un ferry à la Nouvelle Orléans, l'agent Doug Carlin se voit enrôlé au sein d'une nouvelle cellule du FBI ayant accès à un appareil gouvernemental top secret permettant d'ouvrir une ""fenêtre sur le temps"", et ainsi de retrouver les preuves nécessaires à l'arrestation d'importants criminels. Cette fenêtre permet d'observer des évènements dans le passé s'étant déroulés quatre jours, six heures et quelques minutes auparavant... pas une de plus, pas une de moins.",60723,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/62/83/58/18684933.jpg,261617
Le Pacte du sang,2006-12-13,Action_Epouvante-horreur_Fantastique_Thriller,97,Renny Harlin,Gaumont Columbia Tristar Films,"Steven Strait,Laura Ramsey,Sebastian Stan",U.S.A.,Anglais,Long-métrage,2006,14,"Alors que la fête étudiante du lycée Spenser bat son plein, Caleb et ses trois amis ont d'autres loisirs. Descendants des familles qui fondèrent la ville à l'époque des sorcières de Salem, ils expérimentent les pouvoirs magiques dont ils ont hérité en secret. Lorsque, au petit matin, on découvre le corps d'un étudiant ayant succombé à ce qui semble être une overdose, Caleb et ses comparses sont immédiatement soupçonnés d'y être pour quelque chose.",61745,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/62/83/61/18685692.jpg,33563
Invincible,2006-12-19,Biopic_Drame,105,Ericson Core,-,"Paige Turco,Mark Wahlberg,Greg Kinnear",U.S.A.,Anglais,Long-métrage,2006,34,"Vince Papale vient de perdre sa femme et son travail. Grand fan des Eagles, l'homme se voit un jour intégrer cette célèbre équipe nationale de football américain. Ses rêves les plus fous se réalisent alors.",109713,https://fr.web.img3.acsta.net/c_310_420/pictures/20/03/18/15/51/1023638.jpg,17031122
"Piccolo, Saxo et Cie",2006-12-20,Animation,85,Marco Villamizar,Haut et Court,"Jean-Baptiste Maunier,Eugène Christo-Foroux, Anaïs",France,Français,Long-métrage,2005,18,"Rien ne va plus sur la planète Musique. Toutes les familles d'instruments sont fâchées. Tout a commencé depuis la mystérieuse disparition des clés Sol, Fa et Ut et évidemment chacune des familles accuse l'autre de les avoir volées.",28778,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/62/59/17/18698993.jpg,101152
Coast Guards,2006-12-20,Action_Aventure_Drame,137,Andrew Davis,SND,"Kevin Costner,Ashton Kutcher,Sela Ward",U.S.A.,Anglais,Long-métrage,2006,22,"Depuis qu'une tempête a décimé son équipe de sauveteurs en mer, Ben Randall s'est retiré et se consacre désormais à la formation des jeunes recrues. Sa réputation de bravoure et ses méthodes d'enseignement peu orthodoxes ont fait de lui une légende. Pourtant, il reste hanté par la mort de ses coéquipiers...",56824,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/36/83/18680991.jpg,79041
Franklin et le trésor du lac,2006-12-20,Animation,80,Dominique Monféry,Mars Distribution,"Cathy Cerda,Jean Lescot,Clara Borras",France,Français,Long-métrage,2006,25,"Franklin est en vacances et se réjouit de la venue exceptionnelle de sa Tante Lucie, une exploratrice dont la spécialité est de retrouver des trésors archéologiques : sa présence promet des aventures passionnantes !",109380,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/62/84/96/18682543.jpg,67968
Mon meilleur ami,2006-12-20,Comédie,94,Patrice Leconte,Wild Bunch Distribution,"Daniel Auteuil,Dany Boon,Julie Gayet",France,Français,Long-métrage,2006,23,Un marchand d'art fait un pari : il a dix jours pour trouver un meilleur ami. Il se lance alors dans un,37967,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/60/14/23/18678248.jpg,230325
Le héros de la famille,2006-12-20,Comédie dramatique_Romance,100,Thierry Klifa,UGC,"Gérard Lanvin,Catherine Deneuve,Emmanuelle Béart",France,Français,Long-métrage,2006,25,"A Nice, le temps d'un héritage dont l'enjeu est le ""Perroquet bleu"", un cabaret aux nuits magiques, les membres d'une famille éclatée se retrouvent malgré eux. C'est l'heure des explications, des règlements de compte, des aveux, des alliances insolites, des tiroirs secrets que l'on ouvre sans savoir qu'on va y trouver un peu de son histoire...",60987,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/01/87/18699303.jpg,226552
Le Grand appartement,2006-12-27,Comédie,103,Pascal Thomas,Mars Distribution,"Laetitia Casta,Mathieu Amalric,Pierre Arditi",France,Français,Long-métrage,2006,24,"Francesca et Martin vivent, entre réalité et fiction, dans une joyeuse bohême. Et surtout au-dessus de leurs moyens. Ils occupent en effet un immense appartement à petit loyer qu'ils doivent aux bontés de la vieille loi de 1948. Ce grand appartement est le phalanstère de l'amitié.",108951,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/84/97/18678319.jpg,134247
The Grudge 2,2006-12-27,Epouvante-horreur,102,Takashi Shimizu,Metropolitan FilmExport,"Amber Tamblyn,Arielle Kebbel,Edison Chen",U.S.A.,Anglais,Long-métrage,2006,9,"Aubrey apprend que sa soeur Karen est hospitalisée au Japon. Peu de temps après son arrivée à Tokyo, Aubrey est avertie que sa soeur est devenue l'esclave de quelque chose d'invisible et de dangereux.",60697,https://fr.web.img2.acsta.net/c_310_420/pictures/17/01/27/17/14/356216.jpg,152431
The Fountain,2006-12-27,Drame_Fantastique_Romance_Science fiction,96,Darren Aronofsky,TFM Distribution,"Hugh Jackman,Rachel Weisz,Ellen Burstyn",U.S.A.,Anglais,Long-métrage,2006,26,The Fountain raconte le combat à travers les âges d'un homme pour sauver la femme qu'il aime.,46113,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/87/06/18686128.jpg,84542
The Holiday,2006-12-27,Comédie_Romance,131,Nancy Meyers,Universal Pictures France (UPF),"Cameron Diaz,Kate Winslet,Jude Law",U.S.A.,Anglais,Long-métrage,2006,18,"Une Américaine (Amanda) et une Anglaise (Iris), toutes deux déçues des hommes, décident, sans se connaître, d'échanger leurs appartements. Iris, va débarquer dans une demeure de rêve tandis que la distinguée Amanda découvre une petite maison de campagne sans prétentions. Les deux femmes pensent passer de paisibles vacances loin de la gent masculine, mais c'était sans compter l'arrivée du frère d'Iris dans la vie d'Amanda, et la rencontre de Miles pour Iris.",60426,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/83/50/18689023.jpg,399396
Hollywoodland,2007-01-03,Biopic_Drame_Thriller,126,Allen Coulter,Buena Vista International,"Ayumi Iizuka,Ben Affleck,Diane Lane",U.S.A.,Anglais,Long-métrage,2006,23,"16 juin 1959. L'acteur George Reeves, le héros du feuilleton télévisé",59735,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/62/83/65/18684066.jpg,74139
Une grande année,2007-01-03,Comédie_Drame_Romance,118,Ridley Scott,Twentieth Century Fox France,"Russell Crowe,Albert Finney,Marion Cotillard",U.S.A.,Anglais,Long-métrage,2006,26,"Max Skinner, un banquier d'affaires anglais, hérite du vignoble provençal où il passait autrefois ses vacances d'été aux côtés de son oncle. Il y retrouve Francis Duflot, le vigneron qu'il a connu enfant et qui veille depuis trente ans sur les cépages.",56066,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/26/48/18704327.jpg,116038
Bad Times,2007-01-10,Drame_Policier_Thriller,115,David Ayer,SND,"Christian Bale,Freddy Rodriguez,Eva Longoria",U.S.A.,Anglais,Long-métrage,2005,21,"Vétéran de la Guerre du Golfe, Jim Davis a été profondément marqué par l'horreur des combats. A bout de ressources, il attend d'être appelé au sein de la police de Los Angeles, où un poste lui avait été promis. Si seulement il avait un boulot, il retrouverait son équilibre et sa vie aurait à nouveau un sens.",58486,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/36/02/62/18678047.jpg,55466
Stick It,2007-01-10,Comédie,100,Jessica Bendinger,StudioCanal,"Rachelle Roderick,Shannon Factor,Jeff Bridges",U.S.A.,Anglais,Long-métrage,2006,7,"Haley Graham, 17 ans, est une jeune rebelle au caractère bien trempé. Autant dire que son père, qui l'élève seul, a bien du mal à se faire respecter... Mais à force de jouer avec le feu et de traîner avec ses copains motards, elle se retrouve devant le juge des enfants. Pour son plus grand malheur, Haley, ex-championne de gymnastique, est condamnée à purger sa peine... dans une école de gymnastique dirigée d'une main de fer par Burt Vickerman, entraîneur réputé pour ses méthodes para-militaires.",79548,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/35/29/18699318.jpg,10803610
Le Serpent,2007-01-10,Thriller,119,Eric Barbier,Wild Bunch Distribution,"Yvan Attal,Clovis Cornillac,Minna Haapkyla",France,Français,Long-métrage,2006,20,"Vincent Mandel, photographe et père de famille en instance de divorce, voit sa vie s'effondrer à cause d'une manipulation orchestrée par un ancien camarade de classe, Joseph Plender.",109704,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/62/91/86/18697662.jpg,304325
Les Climats,2007-01-17,Drame,97,Nuri Bilge Ceylan,Pyramide Distribution,"Nuri Bilge Ceylan,Ebru Ceylan,Nazan Kesal",France,Turc,Long-métrage,2006,24,"L'homme est fait pour être heureux pour de simples raisons et malheureux pour des raisons encore plus simples - tout comme il est né pour de simples raisons et qu'il meurt pour des raisons plus simples encore... Isa et Bahar sont deux êtres seuls, entraînés par les climats changeants de leur vie intérieure, à la poursuite d'un bonheur qui ne leur appartient plus.",109741,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/16/04/18643214.jpg,34163
Truands,2007-01-17,Policier_Thriller,107,Frédéric Schoendoerffer,Mars Films,"Benoît Magimel,Philippe Caubère,Béatrice Dalle",France,Français,Long-métrage,2007,26,"Paris, de nos jours, grand banditisme.",108871,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/85/42/18703546.jpg,173561
L'Illusionniste,2007-01-17,Drame_Fantastique_Thriller,110,Neil Burger,Metropolitan FilmExport,"Edward Norton,Paul Giamatti,Jessica Biel",U.S.A.,Anglais,Long-métrage,2006,27,"Vienne, dans les années 1900. Surgit un jour le charismatique et mystérieux illusionniste Eisenheim, qui ne tarda pas à devenir l'homme le plus célèbre de la ville, l'incarnation vivante d'une magie à laquelle personne n'osait plus croire...",59275,https://fr.web.img6.acsta.net/c_310_420/pictures/17/01/06/12/02/271782.jpg,142608
Zone libre,2007-01-17,Drame,104,Christophe Malavoy,TFM Distribution,"Jean-Paul Roussillon,Lionel Abelanski,Olga Grumberg",France,Français,Long-métrage,2005,21,"Après s'être séparée pour passer la ligne de démarcation, la famille de Simon (sa femme Léa, sa belle-soeur Mauricette, enceinte de plusieurs mois, la mère des deux jeunes femmes, Madame Schwartz, qui ne parle que",59628,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/62/72/18710885.jpg,58241
Jacquou Le Croquant,2007-01-17,Aventure_Drame,150,Laurent Boutonnat,Pathé,"Gaspard Ulliel,Marie-Josée Croze,Albert Dupontel",France,Français,Long-métrage,2007,22,"1815. Jacquou, jeune paysan du Périgord, vit heureux avec ses parents.",55569,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/18/69/18686582.jpg,378651
Cashback,2007-01-17,Comédie dramatique,94,Sean Ellis,Gaumont Columbia Tristar Films,"Sean Biggerstaff,Emilia Fox,Shaun Evans",Grande-Bretagne,Anglais,Long-métrage,2006,20,"Ben Willis, étudiant aux Beaux-Arts, se fait plaquer par sa petite amie Suzy. Devenu insomniaque suite à cette rupture, il se met à travailler de nuit au supermarché du coin.",112209,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/63/06/37/18701471.jpg,67614
Les Ambitieux,2007-01-24,Comédie,90,Catherine Corsini,Pyramide Distribution,"Karin Viard,Eric Caravaca,Jacques Weber",France,Français,Long-métrage,2006,25,Julien est un jeune auteur qui rêve d'être édité. Il réussit à obtenir un rendez-vous avec une éditrice redoutable Judith Zahn. Celle-ci ne lui reconnaît aucun talent mais le trouve à son goût. Il se laisse séduire et devient son amant.,109314,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/04/55/18707366.jpg,126296
Rocky Balboa,2007-01-24,Action_Drame,105,Sylvester Stallone,Twentieth Century Fox France,"Lahmard J. Tate,Kevin King Templeton,Sylvester Stallone",U.S.A.,Anglais,Long-métrage,2006,27,"Rocky Balboa, le légendaire boxeur, a depuis longtemps quitté le ring. De ses succès, il ne reste plus que des histoires qu'il raconte aux clients de son restaurant. La mort de son épouse lui pèse chaque jour et son fils ne vient jamais le voir.",109061,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/36/21/60/18708488.jpg,670642
Bobby,2007-01-24,Drame_Historique,117,Emilio Estevez,TFM Distribution,"Anthony Hopkins,Demi Moore,Sharon Stone",U.S.A.,Anglais,Long-métrage,2006,26,"Le 5 juin 1968, à minuit, le sénateur démocrate Robert F. Kennedy, ancien Ministre de la Justice, candidat démocrate à la Maison Blanche et probable successeur de son frère JFK, était assassiné dans les couloirs de l'Hôtel Ambassador de Los Angeles.",108654,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/31/27/18702629.jpg,84527
Little Children,2007-01-24,Drame_Romance,140,Todd Field,Metropolitan FilmExport,"Kate Winslet,Patrick Wilson,Jennifer Connelly",U.S.A.,Anglais,Long-métrage,2006,20,"Little Children entrecroise les vies, les destinées contrariées, les secrets, les rêves, les fantasmes et les angoisses de personnages dans la quiétude trompeuse d'une banlieue bourgeoise de la côte Est.",61682,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/35/81/18674420.jpg,70380
À la recherche du bonheur,2007-01-31,Biopic_Drame,118,Gabriele Muccino,Gaumont Columbia Tristar Films,"Will Smith,Thandiwe Newton,Jaden Smith",U.S.A.,Anglais,Long-métrage,2006,21,"Représentant de commerce, Chris Gardner a du mal à gagner sa vie. Il jongle pour s'en sortir, mais sa compagne supporte de moins en moins leur précarité. Elle finit par quitter Chris et leur petit garçon de cinq ans, Christopher.",54098,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/62/89/48/18708437.jpg,338027
Blood Diamond,2007-01-31,Aventure_Drame_Thriller,143,Edward Zwick,Warner Bros. France,"Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly",U.S.A.,Anglais,Long-métrage,2006,26,"Alors qu'il purge une peine de prison pour ses trafics, Archer rencontre Solomon Vandy, un pêcheur d'origine Mende. Arraché à sa famille et forcé de travailler dans les mines diamantifères, ce dernier a trouvé - et caché - un diamant rose extrêmement rare. Accompagnés de Maddy Bowen, une journaliste idéaliste, les deux hommes s'embarquent pour un dangereux voyage en territoire rebelle pour récupérer le fameux caillou. Un voyage qui pourrait bien sauver la famille de Salomon et donner à Archer la seconde chance qu'il n'espérait plus.",61469,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/63/12/34/18711805.jpg,419722
Molière,2007-01-31,Comédie_Romance,120,Laurent Tirard,Wild Bunch Distribution,"Alban Casterman,Romain Duris,Fabrice Luchini",France,Français,Long-métrage,2007,26,"En 1644, Molière n'a encore que vingt-deux ans. Criblé de dettes et poursuivi par les huissiers, il s'entête à monter sur scène des tragédies dans lesquelles il est indéniablement mauvais. Et puis un jour, après avoir été emprisonné par des créanciers impatients, il disparaît...",109959,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/62/83/63/18702768.jpg,341820
L'Île aux trésors,2007-01-31,Aventure_Comédie,100,Alain Berbérian,Bac Films,"Gérard Jugnot,Alice Taglioni,Jean-Paul Rouve",France,Français,Long-métrage,2006,19,Un trésor enfoui sur un îlot des Antilles.,109457,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/63/19/77/18703592.jpg,271757
